bin_id,timestamp,fill_level,location_zone,last_collection,day_type,weather_flag,event_flag,nearby_activity,recent_fill_trend,overflow
BIN001,2024-09-01 00:00:00,40.98,ZONE_A,2024-08-30 19:00:00,weekend,0,1,84.4,0.0,1
BIN001,2024-09-01 04:00:00,59.91,ZONE_A,2024-08-30 19:00:00,weekend,1,0,74.7,0.0,0
BIN001,2024-09-01 08:00:00,77.65,ZONE_A,2024-08-30 19:00:00,weekend,0,0,64.8,12.97,1
BIN001,2024-09-01 12:00:00,95.12,ZONE_A,2024-08-30 19:00:00,weekend,0,0,76.6,12.22,1
BIN001,2024-09-01 16:00:00,100.0,ZONE_A,2024-08-30 19:00:00,weekend,0,1,90.1,11.74,1
BIN001,2024-09-01 20:00:00,100.0,ZONE_A,2024-08-30 19:00:00,weekend,0,0,54.4,7.45,1
BIN001,2024-09-02 00:00:00,100.0,ZONE_A,2024-08-30 19:00:00,weekday,0,0,73.4,1.63,1
BIN001,2024-09-02 04:00:00,100.0,ZONE_A,2024-08-30 19:00:00,weekday,0,0,42.9,0.0,1
BIN001,2024-09-02 08:00:00,8.24,ZONE_A,2024-09-02 08:00:00,weekday,0,0,77.0,0.0,0
BIN001,2024-09-02 12:00:00,24.23,ZONE_A,2024-09-02 08:00:00,weekday,0,0,56.0,-30.59,0
BIN001,2024-09-02 16:00:00,42.02,ZONE_A,2024-09-02 08:00:00,weekday,0,0,60.0,-25.26,0
BIN001,2024-09-02 20:00:00,60.43,ZONE_A,2024-09-02 08:00:00,weekday,1,0,61.6,11.26,0
BIN001,2024-09-03 00:00:00,76.83,ZONE_A,2024-09-02 08:00:00,weekday,0,0,45.5,12.07,0
BIN001,2024-09-03 04:00:00,93.64,ZONE_A,2024-09-02 08:00:00,weekday,0,0,46.4,11.6,1
BIN001,2024-09-03 08:00:00,100.0,ZONE_A,2024-09-02 08:00:00,weekday,0,0,58.7,11.07,1
BIN001,2024-09-03 12:00:00,100.0,ZONE_A,2024-09-02 08:00:00,weekday,1,0,70.0,7.72,1
BIN001,2024-09-03 16:00:00,100.0,ZONE_A,2024-09-02 08:00:00,weekday,1,0,68.8,2.12,1
BIN001,2024-09-03 20:00:00,100.0,ZONE_A,2024-09-02 08:00:00,weekday,0,0,60.3,0.0,1
BIN001,2024-09-04 00:00:00,8.63,ZONE_A,2024-09-04 00:00:00,weekday,0,0,64.0,0.0,0
BIN001,2024-09-04 04:00:00,25.35,ZONE_A,2024-09-04 00:00:00,weekday,0,0,49.6,-30.46,0
BIN001,2024-09-04 08:00:00,43.24,ZONE_A,2024-09-04 00:00:00,weekday,0,0,79.1,-24.88,0
BIN001,2024-09-04 12:00:00,60.52,ZONE_A,2024-09-04 00:00:00,weekday,0,0,61.1,11.54,0
BIN001,2024-09-04 16:00:00,77.69,ZONE_A,2024-09-04 00:00:00,weekday,0,0,68.5,11.72,1
BIN001,2024-09-04 20:00:00,93.42,ZONE_A,2024-09-04 00:00:00,weekday,0,0,49.9,11.49,1
BIN001,2024-09-05 00:00:00,8.3,ZONE_A,2024-09-05 00:00:00,weekday,0,1,84.5,10.97,0
BIN001,2024-09-05 04:00:00,25.84,ZONE_A,2024-09-05 00:00:00,weekday,0,0,61.6,-23.13,0
BIN001,2024-09-05 08:00:00,42.63,ZONE_A,2024-09-05 00:00:00,weekday,0,0,58.9,-22.53,0
BIN001,2024-09-05 12:00:00,59.37,ZONE_A,2024-09-05 00:00:00,weekday,0,0,74.6,11.44,0
BIN001,2024-09-05 16:00:00,76.96,ZONE_A,2024-09-05 00:00:00,weekday,1,0,72.0,11.18,1
BIN001,2024-09-05 20:00:00,95.49,ZONE_A,2024-09-05 00:00:00,weekday,1,0,58.5,11.44,1
BIN001,2024-09-06 00:00:00,12.54,ZONE_A,2024-09-06 00:00:00,weekday,0,1,91.9,12.04,0
BIN001,2024-09-06 04:00:00,30.97,ZONE_A,2024-09-06 00:00:00,weekday,0,0,74.6,-21.47,0
BIN001,2024-09-06 08:00:00,50.14,ZONE_A,2024-09-06 00:00:00,weekday,1,0,77.1,-21.51,0
BIN001,2024-09-06 12:00:00,67.41,ZONE_A,2024-09-06 00:00:00,weekday,0,0,66.5,12.54,0
BIN001,2024-09-06 16:00:00,84.11,ZONE_A,2024-09-06 00:00:00,weekday,1,0,42.4,12.14,1
BIN001,2024-09-06 20:00:00,100.0,ZONE_A,2024-09-06 00:00:00,weekday,0,0,42.3,11.32,1
BIN001,2024-09-07 00:00:00,100.0,ZONE_A,2024-09-06 00:00:00,weekend,1,0,70.6,10.86,1
BIN001,2024-09-07 04:00:00,100.0,ZONE_A,2024-09-06 00:00:00,weekend,1,0,70.8,5.3,1
BIN001,2024-09-07 08:00:00,11.21,ZONE_A,2024-09-07 08:00:00,weekend,0,1,100.0,0.0,1
BIN001,2024-09-07 12:00:00,27.11,ZONE_A,2024-09-07 08:00:00,weekend,0,0,53.8,-29.6,0
BIN001,2024-09-07 16:00:00,45.03,ZONE_A,2024-09-07 08:00:00,weekend,0,0,66.9,-24.3,0
BIN001,2024-09-07 20:00:00,61.5,ZONE_A,2024-09-07 08:00:00,weekend,0,0,57.9,11.27,0
BIN001,2024-09-08 00:00:00,78.76,ZONE_A,2024-09-07 08:00:00,weekend,0,0,56.9,11.46,0
BIN001,2024-09-08 04:00:00,96.96,ZONE_A,2024-09-07 08:00:00,weekend,0,0,81.8,11.24,1
BIN001,2024-09-08 08:00:00,100.0,ZONE_A,2024-09-07 08:00:00,weekend,1,0,60.0,11.82,1
BIN001,2024-09-08 12:00:00,100.0,ZONE_A,2024-09-07 08:00:00,weekend,1,0,74.1,7.08,1
BIN001,2024-09-08 16:00:00,100.0,ZONE_A,2024-09-07 08:00:00,weekend,1,0,92.0,1.01,1
BIN001,2024-09-08 20:00:00,100.0,ZONE_A,2024-09-07 08:00:00,weekend,0,0,89.7,0.0,1
BIN001,2024-09-09 00:00:00,100.0,ZONE_A,2024-09-07 08:00:00,weekday,0,0,56.5,0.0,1
BIN001,2024-09-09 04:00:00,12.01,ZONE_A,2024-09-09 04:00:00,weekday,0,0,69.4,0.0,0
BIN001,2024-09-09 08:00:00,30.17,ZONE_A,2024-09-09 04:00:00,weekday,1,0,48.0,-29.33,0
BIN001,2024-09-09 12:00:00,47.25,ZONE_A,2024-09-09 04:00:00,weekday,0,0,66.4,-23.28,0
BIN001,2024-09-09 16:00:00,64.65,ZONE_A,2024-09-09 04:00:00,weekday,0,0,60.4,11.75,0
BIN001,2024-09-09 20:00:00,82.23,ZONE_A,2024-09-09 04:00:00,weekday,1,0,50.4,11.49,1
BIN001,2024-09-10 00:00:00,99.61,ZONE_A,2024-09-09 04:00:00,weekday,0,0,71.5,11.66,1
BIN001,2024-09-10 04:00:00,100.0,ZONE_A,2024-09-09 04:00:00,weekday,1,0,47.6,11.65,1
BIN001,2024-09-10 08:00:00,9.31,ZONE_A,2024-09-10 08:00:00,weekday,0,0,77.6,5.92,0
BIN001,2024-09-10 12:00:00,26.5,ZONE_A,2024-09-10 08:00:00,weekday,0,0,45.0,-30.1,0
BIN001,2024-09-10 16:00:00,43.0,ZONE_A,2024-09-10 08:00:00,weekday,0,0,62.2,-24.5,0
BIN001,2024-09-10 20:00:00,59.95,ZONE_A,2024-09-10 08:00:00,weekday,0,0,62.8,11.23,0
BIN001,2024-09-11 00:00:00,76.79,ZONE_A,2024-09-10 08:00:00,weekday,0,0,64.3,11.15,1
BIN001,2024-09-11 04:00:00,95.22,ZONE_A,2024-09-10 08:00:00,weekday,0,0,71.7,11.26,1
BIN001,2024-09-11 08:00:00,14.52,ZONE_A,2024-09-11 08:00:00,weekday,0,0,66.6,11.76,0
BIN001,2024-09-11 12:00:00,34.18,ZONE_A,2024-09-11 08:00:00,weekday,0,1,76.5,-20.76,0
BIN001,2024-09-11 16:00:00,51.33,ZONE_A,2024-09-11 08:00:00,weekday,0,0,68.7,-20.35,0
BIN001,2024-09-11 20:00:00,69.73,ZONE_A,2024-09-11 08:00:00,weekday,0,0,74.4,12.27,1
BIN001,2024-09-12 00:00:00,86.8,ZONE_A,2024-09-11 08:00:00,weekday,0,0,58.6,11.85,1
BIN001,2024-09-12 04:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,1,1,84.2,11.82,1
BIN001,2024-09-12 08:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,75.7,10.09,1
BIN001,2024-09-12 12:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,70.1,4.4,1
BIN001,2024-09-12 16:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,68.5,0.0,1
BIN001,2024-09-12 20:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,46.1,0.0,1
BIN001,2024-09-13 00:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,1,0,55.6,0.0,1
BIN001,2024-09-13 04:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,59.1,0.0,1
BIN001,2024-09-13 08:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,61.5,0.0,1
BIN001,2024-09-13 12:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,55.6,0.0,1
BIN001,2024-09-13 16:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,61.4,0.0,1
BIN001,2024-09-13 20:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekday,0,0,47.3,0.0,1
BIN001,2024-09-14 00:00:00,100.0,ZONE_A,2024-09-11 08:00:00,weekend,0,0,87.3,0.0,1
BIN001,2024-09-14 04:00:00,5.31,ZONE_A,2024-09-14 04:00:00,weekend,1,0,54.7,0.0,0
BIN001,2024-09-14 08:00:00,21.53,ZONE_A,2024-09-14 04:00:00,weekend,0,0,59.3,-31.56,0
BIN001,2024-09-14 12:00:00,39.78,ZONE_A,2024-09-14 04:00:00,weekend,0,0,78.9,-26.16,0
